Thème,Difficulté question,Questions,A,B,C,D,Réponse
Océans & Mers,Intermédiaire,Quel vent saisonnier influe sur l'océan Indien ?,L'alizé,Le mistral,Le sirocco,La mousson,D
Océans & Mers,Intermédiaire,Combien de bras possède un calmar ?,6,8,10,12,C
Océans & Mers,Intermédiaire,Quel courant marin permet à l'Europe d'avoir un climat tempéré ? (Détail 1)?,Le courant du Labrador,Le Kuroshio,Le Gulf Stream,Le courant de Humboldt,C
Océans & Mers,Intermédiaire,Quelle mer est située entre la Grèce et la Turquie ? (Détail 1)?,La mer Noire,La mer Égée,La mer Ionienne,La mer Adriatique,B
Océans & Mers,Intermédiaire,Où se situe la fosse des Mariannes ? (Détail 1)?,Dans l'océan Arctique,Dans l'océan Indien,Dans l'océan Pacifique,Dans l'océan Atlantique,C
Océans & Mers,Intermédiaire,Comment appelle-t-on les forêts sous-marines de grandes algues ? (Détail 1)?,Les herbiers,Les forêts de kelp,Les mangroves,Les récifs,B
Océans & Mers,Intermédiaire,Quel est le nom de la zone où la lumière ne pénètre plus ? (Détail 1)?,La zone euphotique,La zone aphotique,La zone littorale,La zone pélagique,B
Océans & Mers,Intermédiaire,Quel canal relie la mer Méditerranée à la mer Rouge ? (Détail 1)?,Le canal de Corinthe,Le canal de Panama,Le canal de Suez,Le canal du Midi,C
Océans & Mers,Intermédiaire,Quelle est la profondeur moyenne des océans ? (Détail 1)?,Environ 500 mètres,Environ 8 000 mètres,Environ 1 000 mètres,Environ 3 700 mètres,D
Océans & Mers,Intermédiaire,Lequel de ces pays ne possède aucun accès à la mer ? (Détail 1)?,Le Pérou,La Bolivie,Le Chili,L'Argentine,B
Océans & Mers,Intermédiaire,Quel explorateur a donné son nom à un détroit au sud de l'Amérique ? (Détail 1)?,Cook,Colomb,Magellan,Vasco de Gama,C
Océans & Mers,Intermédiaire,Quelle mer ne possède aucune côte terrestre ? (Détail 1)?,La mer des Sargasses,La mer de Beaufort,La mer d'Aral,La mer de Corail,A
Océans & Mers,Intermédiaire,Comment s'appelle l'étude scientifique des océans ? (Détail 1)?,L'hydrologie,La géologie,La météorologie,L'océanographie,D
Océans & Mers,Intermédiaire,Quel pourcentage de l'eau sur Terre est salée ? (Détail 1)?,Environ 50%,Environ 75%,Environ 97%,Environ 10%,C
Océans & Mers,Intermédiaire,Quel gaz est majoritairement absorbé par les océans ? (Détail 1)?,Le dioxyde de carbone,L'azote,L'oxygène,L'hydrogène,A
Océans & Mers,Intermédiaire,Quelle est la principale source de nourriture de la baleine à fanons ? (Détail 1)?,Les algues,Les requins,Le sable,Le krill,D
Océans & Mers,Intermédiaire,Lequel est un mammifère marin migrateur ? (Détail 1)?,Le thon rouge,La baleine à bosse,L'espadon,Le grand requin blanc,B
Océans & Mers,Intermédiaire,Quelle mer se trouve entre l'Italie et les Balkans ? (Détail 1)?,La mer Ligure,La mer d'Azov,La mer Adriatique,La mer Tyrrhénienne,C
Océans & Mers,Intermédiaire,Que signifie l'acronyme 'ZEE' ? (Détail 1)?,Zone Écologique Européenne,Zone Économique Exclusive,Zone d'Entrée Étatique,Zone d'Eau Étrangère,B
Océans & Mers,Intermédiaire,Quelle structure corallienne est visible depuis l'espace ? (Détail 1)?,Le Trou Bleu,Le récif de Belize,La Grande Barrière de Corail,L'atoll de Bikini,C
Océans & Mers,Intermédiaire,Quel vent saisonnier influe sur l'océan Indien ? (Détail 1)?,La mousson,Le mistral,Le sirocco,L'alizé,A
Océans & Mers,Intermédiaire,Combien de bras possède un calmar ? (Détail 1)?,6,10,12,8,B
Océans & Mers,Intermédiaire,Quel courant marin permet à l'Europe d'avoir un climat tempéré ? (Détail 2)?,Le Kuroshio,Le courant du Labrador,Le courant de Humboldt,Le Gulf Stream,D
Océans & Mers,Intermédiaire,Quelle mer est située entre la Grèce et la Turquie ? (Détail 2)?,La mer Adriatique,La mer Ionienne,La mer Noire,La mer Égée,D
Océans & Mers,Intermédiaire,Où se situe la fosse des Mariannes ? (Détail 2)?,Dans l'océan Indien,Dans l'océan Atlantique,Dans l'océan Arctique,Dans l'océan Pacifique,D
Océans & Mers,Intermédiaire,Comment appelle-t-on les forêts sous-marines de grandes algues ? (Détail 2)?,Les forêts de kelp,Les récifs,Les mangroves,Les herbiers,A
Océans & Mers,Intermédiaire,Quel est le nom de la zone où la lumière ne pénètre plus ? (Détail 2)?,La zone pélagique,La zone euphotique,La zone littorale,La zone aphotique,D
Océans & Mers,Intermédiaire,Quel canal relie la mer Méditerranée à la mer Rouge ? (Détail 2)?,Le canal de Panama,Le canal de Corinthe,Le canal de Suez,Le canal du Midi,C
Océans & Mers,Intermédiaire,Quelle est la profondeur moyenne des océans ? (Détail 2)?,Environ 3 700 mètres,Environ 8 000 mètres,Environ 500 mètres,Environ 1 000 mètres,A
Océans & Mers,Intermédiaire,Lequel de ces pays ne possède aucun accès à la mer ? (Détail 2)?,Le Chili,Le Pérou,L'Argentine,La Bolivie,D
Océans & Mers,Intermédiaire,Quel explorateur a donné son nom à un détroit au sud de l'Amérique ? (Détail 2)?,Magellan,Vasco de Gama,Cook,Colomb,A
Océans & Mers,Intermédiaire,Quelle mer ne possède aucune côte terrestre ? (Détail 2)?,La mer de Beaufort,La mer d'Aral,La mer de Corail,La mer des Sargasses,D
Océans & Mers,Intermédiaire,Comment s'appelle l'étude scientifique des océans ? (Détail 2)?,L'océanographie,La géologie,La météorologie,L'hydrologie,A
Océans & Mers,Intermédiaire,Quel pourcentage de l'eau sur Terre est salée ? (Détail 2)?,Environ 10%,Environ 97%,Environ 75%,Environ 50%,B
Océans & Mers,Intermédiaire,Quel gaz est majoritairement absorbé par les océans ? (Détail 2)?,L'azote,L'oxygène,Le dioxyde de carbone,L'hydrogène,C
Océans & Mers,Intermédiaire,Quelle est la principale source de nourriture de la baleine à fanons ? (Détail 2)?,Les algues,Le sable,Les requins,Le krill,D
Océans & Mers,Intermédiaire,Lequel est un mammifère marin migrateur ? (Détail 2)?,L'espadon,Le thon rouge,La baleine à bosse,Le grand requin blanc,C
Océans & Mers,Intermédiaire,Quelle mer se trouve entre l'Italie et les Balkans ? (Détail 2)?,La mer Adriatique,La mer Ligure,La mer d'Azov,La mer Tyrrhénienne,A
Océans & Mers,Intermédiaire,Que signifie l'acronyme 'ZEE' ? (Détail 2)?,Zone d'Eau Étrangère,Zone Écologique Européenne,Zone d'Entrée Étatique,Zone Économique Exclusive,D
Océans & Mers,Intermédiaire,Quelle structure corallienne est visible depuis l'espace ? (Détail 2)?,Le Trou Bleu,L'atoll de Bikini,La Grande Barrière de Corail,Le récif de Belize,C
Océans & Mers,Intermédiaire,Quel vent saisonnier influe sur l'océan Indien ? (Détail 2)?,Le sirocco,La mousson,Le mistral,L'alizé,B
Océans & Mers,Intermédiaire,Combien de bras possède un calmar ? (Détail 2)?,10,6,8,12,A
Océans & Mers,Intermédiaire,Quel courant marin permet à l'Europe d'avoir un climat tempéré ? (Détail 3)?,Le courant du Labrador,Le Kuroshio,Le courant de Humboldt,Le Gulf Stream,D
Océans & Mers,Intermédiaire,Quelle mer est située entre la Grèce et la Turquie ? (Détail 3)?,La mer Adriatique,La mer Noire,La mer Ionienne,La mer Égée,D
Océans & Mers,Intermédiaire,Où se situe la fosse des Mariannes ? (Détail 3)?,Dans l'océan Atlantique,Dans l'océan Pacifique,Dans l'océan Indien,Dans l'océan Arctique,B
Océans & Mers,Intermédiaire,Comment appelle-t-on les forêts sous-marines de grandes algues ? (Détail 3)?,Les mangroves,Les récifs,Les forêts de kelp,Les herbiers,C
Océans & Mers,Intermédiaire,Quel est le nom de la zone où la lumière ne pénètre plus ? (Détail 3)?,La zone aphotique,La zone euphotique,La zone pélagique,La zone littorale,A
Océans & Mers,Intermédiaire,Quel canal relie la mer Méditerranée à la mer Rouge ? (Détail 3)?,Le canal du Midi,Le canal de Suez,Le canal de Corinthe,Le canal de Panama,B
Océans & Mers,Intermédiaire,Quelle est la profondeur moyenne des océans ? (Détail 3)?,Environ 1 000 mètres,Environ 8 000 mètres,Environ 500 mètres,Environ 3 700 mètres,D
Océans & Mers,Intermédiaire,Lequel de ces pays ne possède aucun accès à la mer ? (Détail 3)?,Le Chili,Le Pérou,L'Argentine,La Bolivie,D
Océans & Mers,Intermédiaire,Quel explorateur a donné son nom à un détroit au sud de l'Amérique ? (Détail 3)?,Cook,Colomb,Vasco de Gama,Magellan,D
Océans & Mers,Intermédiaire,Quelle mer ne possède aucune côte terrestre ? (Détail 3)?,La mer de Corail,La mer de Beaufort,La mer d'Aral,La mer des Sargasses,D
Océans & Mers,Intermédiaire,Comment s'appelle l'étude scientifique des océans ? (Détail 3)?,L'hydrologie,La météorologie,La géologie,L'océanographie,D
Océans & Mers,Intermédiaire,Quel pourcentage de l'eau sur Terre est salée ? (Détail 3)?,Environ 97%,Environ 75%,Environ 10%,Environ 50%,A
Océans & Mers,Intermédiaire,Quel gaz est majoritairement absorbé par les océans ? (Détail 3)?,L'hydrogène,L'oxygène,Le dioxyde de carbone,L'azote,C
Océans & Mers,Intermédiaire,Quelle est la principale source de nourriture de la baleine à fanons ? (Détail 3)?,Les requins,Le sable,Le krill,Les algues,C
Océans & Mers,Intermédiaire,Lequel est un mammifère marin migrateur ? (Détail 3)?,Le thon rouge,L'espadon,La baleine à bosse,Le grand requin blanc,C
Océans & Mers,Intermédiaire,Quelle mer se trouve entre l'Italie et les Balkans ? (Détail 3)?,La mer Tyrrhénienne,La mer d'Azov,La mer Adriatique,La mer Ligure,C
Océans & Mers,Intermédiaire,Que signifie l'acronyme 'ZEE' ? (Détail 3)?,Zone d'Entrée Étatique,Zone Écologique Européenne,Zone d'Eau Étrangère,Zone Économique Exclusive,D
Océans & Mers,Intermédiaire,Quelle structure corallienne est visible depuis l'espace ? (Détail 3)?,La Grande Barrière de Corail,Le Trou Bleu,Le récif de Belize,L'atoll de Bikini,A
Océans & Mers,Intermédiaire,Quel vent saisonnier influe sur l'océan Indien ? (Détail 3)?,Le sirocco,L'alizé,La mousson,Le mistral,C
Océans & Mers,Intermédiaire,Combien de bras possède un calmar ? (Détail 3)?,6,10,12,8,B
Océans & Mers,Intermédiaire,Quel courant marin permet à l'Europe d'avoir un climat tempéré ? (Détail 4)?,Le courant de Humboldt,Le Kuroshio,Le Gulf Stream,Le courant du Labrador,C
Océans & Mers,Intermédiaire,Quelle mer est située entre la Grèce et la Turquie ? (Détail 4)?,La mer Adriatique,La mer Noire,La mer Ionienne,La mer Égée,D
Océans & Mers,Intermédiaire,Où se situe la fosse des Mariannes ? (Détail 4)?,Dans l'océan Pacifique,Dans l'océan Atlantique,Dans l'océan Indien,Dans l'océan Arctique,A
Océans & Mers,Intermédiaire,Comment appelle-t-on les forêts sous-marines de grandes algues ? (Détail 4)?,Les mangroves,Les herbiers,Les récifs,Les forêts de kelp,D
Océans & Mers,Intermédiaire,Quel est le nom de la zone où la lumière ne pénètre plus ? (Détail 4)?,La zone littorale,La zone euphotique,La zone pélagique,La zone aphotique,D
Océans & Mers,Intermédiaire,Quel canal relie la mer Méditerranée à la mer Rouge ? (Détail 4)?,Le canal du Midi,Le canal de Panama,Le canal de Corinthe,Le canal de Suez,D
Océans & Mers,Intermédiaire,Quelle est la profondeur moyenne des océans ? (Détail 4)?,Environ 500 mètres,Environ 3 700 mètres,Environ 8 000 mètres,Environ 1 000 mètres,B
Océans & Mers,Intermédiaire,Lequel de ces pays ne possède aucun accès à la mer ? (Détail 4)?,L'Argentine,La Bolivie,Le Chili,Le Pérou,B
Océans & Mers,Intermédiaire,Quel explorateur a donné son nom à un détroit au sud de l'Amérique ? (Détail 4)?,Cook,Vasco de Gama,Magellan,Colomb,C
Océans & Mers,Intermédiaire,Quelle mer ne possède aucune côte terrestre ? (Détail 4)?,La mer de Beaufort,La mer des Sargasses,La mer de Corail,La mer d'Aral,B
Océans & Mers,Intermédiaire,Comment s'appelle l'étude scientifique des océans ? (Détail 4)?,La géologie,La météorologie,L'océanographie,L'hydrologie,C
Océans & Mers,Intermédiaire,Quel pourcentage de l'eau sur Terre est salée ? (Détail 4)?,Environ 10%,Environ 75%,Environ 97%,Environ 50%,C
Océans & Mers,Intermédiaire,Quel gaz est majoritairement absorbé par les océans ? (Détail 4)?,L'azote,L'hydrogène,Le dioxyde de carbone,L'oxygène,C
Océans & Mers,Intermédiaire,Quelle est la principale source de nourriture de la baleine à fanons ? (Détail 4)?,Le sable,Les requins,Le krill,Les algues,C
Océans & Mers,Intermédiaire,Lequel est un mammifère marin migrateur ? (Détail 4)?,L'espadon,Le grand requin blanc,La baleine à bosse,Le thon rouge,C
Océans & Mers,Intermédiaire,Quelle mer se trouve entre l'Italie et les Balkans ? (Détail 4)?,La mer Ligure,La mer Adriatique,La mer Tyrrhénienne,La mer d'Azov,B
Océans & Mers,Intermédiaire,Que signifie l'acronyme 'ZEE' ? (Détail 4)?,Zone d'Eau Étrangère,Zone Écologique Européenne,Zone Économique Exclusive,Zone d'Entrée Étatique,C
Océans & Mers,Intermédiaire,Quelle structure corallienne est visible depuis l'espace ? (Détail 4)?,La Grande Barrière de Corail,Le récif de Belize,Le Trou Bleu,L'atoll de Bikini,A
Océans & Mers,Intermédiaire,Quel vent saisonnier influe sur l'océan Indien ? (Détail 4)?,Le sirocco,L'alizé,La mousson,Le mistral,C
Océans & Mers,Intermédiaire,Combien de bras possède un calmar ? (Détail 4)?,12,6,10,8,C
Océans & Mers,Expert,Quelle est la profondeur exacte du 'Challenger Deep' ?,Environ 10 920 mètres,Environ 9 200 mètres,Environ 8 848 mètres,Environ 12 500 mètres,A
Océans & Mers,Expert,Quel navire a réalisé la première expédition océanographique mondiale en 1872 ?,Le Calypso,L'Endeavour,Le HMS Challenger,Le Beagle,C
Océans & Mers,Expert,Quelle est la salinité moyenne des océans en grammes par litre ?,45 g/L,35 g/L,15 g/L,25 g/L,B
Océans & Mers,Expert,Quel scientifique a co-inventé le scaphandre autonome moderne ?,Émile Gagnan,James Cameron,Robert Ballard,Auguste Piccard,A
Océans & Mers,Expert,Comment appelle-t-on les sources hydrothermales au fond des océans ?,Les geysers abyssaux,Les cheminées magmatiques,Les puits de soufre,Les fumeurs noirs,D
Océans & Mers,Expert,Quel est le nom de la zone la plus profonde située entre 6000 et 11000 m ?,La zone hadale,La zone mésopélagique,La zone bathyale,La zone abyssale,A
Océans & Mers,Expert,En quelle année l'épave du Titanic a-t-elle été localisée ?,1997,1985,2001,1972,B
Océans & Mers,Expert,Quel poisson peut vivre jusqu'à 400 ans dans les eaux froides ?,Le requin du Groenland,Le cœlacanthe,La morue,Le flétan,A
Océans & Mers,Expert,Quel explorateur a atteint le fond de la fosse des Mariannes en 1960 ?,Ernest Shackleton,Jacques Piccard,Roald Amundsen,Jacques-Yves Cousteau,B
Océans & Mers,Expert,Quelle proportion de la chaleur du réchauffement climatique est absorbée par l'océan ?,Environ 70%,Plus de 90%,Environ 50%,Environ 30%,B
Océans & Mers,Expert,Quel est le point géographique le plus éloigné de toute terre ?,Le Cap Horn,Le Pôle Sud,Les îles Kerguelen,Le Point Nemo,D
Océans & Mers,Expert,Quel métal se trouve souvent sous forme de 'nodules' au fond des plaines abyssales ?,L'or,Le manganèse,Le mercure,L'argent,B
Océans & Mers,Expert,Quelle mer est considérée comme la plus jeune du monde au sens géologique ?,La mer Rouge,La mer d'Oman,La mer Méditerranée,La mer Baltique,A
Océans & Mers,Expert,Quel est le nom de la couche de transition thermique rapide dans l'océan ?,La pycnocline,La thermocline,L'isotherme,L'halocline,B
Océans & Mers,Expert,Quelle espèce détient le record de la plus longue migration marine ?,Le thon rouge,La baleine grise,La tortue luth,La sterne arctique,D
Océans & Mers,Expert,Quelle mer a perdu 90% de son volume à cause de l'irrigation ?,La mer d'Aral,La mer Noire,La mer Caspienne,La mer de Galilée,A
Océans & Mers,Expert,Quel navire de Cousteau a été coulé à Singapour en 1996 ?,L'Alcyone,Le Redoutable,La Calypso,Le Bel Espoir,C
Océans & Mers,Expert,Quel est le pourcentage de l'océan qui reste inexploré ?,Plus de 80%,Environ 95%,Environ 50%,Environ 20%,A
Océans & Mers,Expert,Comment appelle-t-on le phénomène d'acidification de l'eau de mer ?,Eutrophisation,Surnatance,Hausse du pH,Baisse du pH,D
Océans & Mers,Expert,Quel archipel possède la plus grande zone économique exclusive française ?,La Polynésie française,Les Kerguelen,La Nouvelle-Calédonie,La Guadeloupe,A
Océans & Mers,Expert,Quelle est la profondeur exacte du 'Challenger Deep' ? (Expert 1)?,Environ 9 200 mètres,Environ 12 500 mètres,Environ 8 848 mètres,Environ 10 920 mètres,D
Océans & Mers,Expert,Quel navire a réalisé la première expédition océanographique mondiale en 1872 ? (Expert 1)?,Le Beagle,Le Calypso,Le HMS Challenger,L'Endeavour,C
Océans & Mers,Expert,Quelle est la salinité moyenne des océans en grammes par litre ? (Expert 1)?,35 g/L,45 g/L,15 g/L,25 g/L,A
Océans & Mers,Expert,Quel scientifique a co-inventé le scaphandre autonome moderne ? (Expert 1)?,James Cameron,Auguste Piccard,Robert Ballard,Émile Gagnan,D
Océans & Mers,Expert,Comment appelle-t-on les sources hydrothermales au fond des océans ? (Expert 1)?,Les fumeurs noirs,Les puits de soufre,Les cheminées magmatiques,Les geysers abyssaux,A
Océans & Mers,Expert,Quel est le nom de la zone la plus profonde située entre 6000 et 11000 m ? (Expert 1)?,La zone mésopélagique,La zone bathyale,La zone abyssale,La zone hadale,D
Océans & Mers,Expert,En quelle année l'épave du Titanic a-t-elle été localisée ? (Expert 1)?,1972,2001,1985,1997,C
Océans & Mers,Expert,Quel poisson peut vivre jusqu'à 400 ans dans les eaux froides ? (Expert 1)?,La morue,Le cœlacanthe,Le requin du Groenland,Le flétan,C
Océans & Mers,Expert,Quel explorateur a atteint le fond de la fosse des Mariannes en 1960 ? (Expert 1)?,Roald Amundsen,Jacques Piccard,Jacques-Yves Cousteau,Ernest Shackleton,B
Océans & Mers,Expert,Quelle proportion de la chaleur du réchauffement climatique est absorbée par l'océan ? (Expert 1)?,Environ 30%,Environ 70%,Plus de 90%,Environ 50%,C
Océans & Mers,Expert,Quel est le point géographique le plus éloigné de toute terre ? (Expert 1)?,Les îles Kerguelen,Le Point Nemo,Le Cap Horn,Le Pôle Sud,B
Océans & Mers,Expert,Quel métal se trouve souvent sous forme de 'nodules' au fond des plaines abyssales ? (Expert 1)?,Le mercure,Le manganèse,L'or,L'argent,B
Océans & Mers,Expert,Quelle mer est considérée comme la plus jeune du monde au sens géologique ? (Expert 1)?,La mer Rouge,La mer Méditerranée,La mer d'Oman,La mer Baltique,A
Océans & Mers,Expert,Quel est le nom de la couche de transition thermique rapide dans l'océan ? (Expert 1)?,La pycnocline,L'isotherme,La thermocline,L'halocline,C
Océans & Mers,Expert,Quelle espèce détient le record de la plus longue migration marine ? (Expert 1)?,La tortue luth,La sterne arctique,La baleine grise,Le thon rouge,B
Océans & Mers,Expert,Quelle mer a perdu 90% de son volume à cause de l'irrigation ? (Expert 1)?,La mer Noire,La mer de Galilée,La mer d'Aral,La mer Caspienne,C
Océans & Mers,Expert,Quel navire de Cousteau a été coulé à Singapour en 1996 ? (Expert 1)?,Le Bel Espoir,Le Redoutable,La Calypso,L'Alcyone,C
Océans & Mers,Expert,Quel est le pourcentage de l'océan qui reste inexploré ? (Expert 1)?,Plus de 80%,Environ 20%,Environ 50%,Environ 95%,A
Océans & Mers,Expert,Comment appelle-t-on le phénomène d'acidification de l'eau de mer ? (Expert 1)?,Hausse du pH,Eutrophisation,Surnatance,Baisse du pH,D
Océans & Mers,Expert,Quel archipel possède la plus grande zone économique exclusive française ? (Expert 1)?,Les Kerguelen,La Nouvelle-Calédonie,La Guadeloupe,La Polynésie française,D
Océans & Mers,Expert,Quelle est la profondeur exacte du 'Challenger Deep' ? (Expert 2)?,Environ 9 200 mètres,Environ 12 500 mètres,Environ 8 848 mètres,Environ 10 920 mètres,D
Océans & Mers,Expert,Quel navire a réalisé la première expédition océanographique mondiale en 1872 ? (Expert 2)?,Le HMS Challenger,Le Calypso,Le Beagle,L'Endeavour,A
Océans & Mers,Expert,Quelle est la salinité moyenne des océans en grammes par litre ? (Expert 2)?,35 g/L,45 g/L,15 g/L,25 g/L,A
Océans & Mers,Expert,Quel scientifique a co-inventé le scaphandre autonome moderne ? (Expert 2)?,Robert Ballard,Émile Gagnan,James Cameron,Auguste Piccard,B
Océans & Mers,Expert,Comment appelle-t-on les sources hydrothermales au fond des océans ? (Expert 2)?,Les cheminées magmatiques,Les geysers abyssaux,Les puits de soufre,Les fumeurs noirs,D
Océans & Mers,Expert,Quel est le nom de la zone la plus profonde située entre 6000 et 11000 m ? (Expert 2)?,La zone hadale,La zone bathyale,La zone abyssale,La zone mésopélagique,A
Océans & Mers,Expert,En quelle année l'épave du Titanic a-t-elle été localisée ? (Expert 2)?,1997,2001,1985,1972,C
Océans & Mers,Expert,Quel poisson peut vivre jusqu'à 400 ans dans les eaux froides ? (Expert 2)?,La morue,Le requin du Groenland,Le flétan,Le cœlacanthe,B
Océans & Mers,Expert,Quel explorateur a atteint le fond de la fosse des Mariannes en 1960 ? (Expert 2)?,Ernest Shackleton,Roald Amundsen,Jacques-Yves Cousteau,Jacques Piccard,D
Océans & Mers,Expert,Quelle proportion de la chaleur du réchauffement climatique est absorbée par l'océan ? (Expert 2)?,Plus de 90%,Environ 30%,Environ 70%,Environ 50%,A
Océans & Mers,Expert,Quel est le point géographique le plus éloigné de toute terre ? (Expert 2)?,Le Pôle Sud,Les îles Kerguelen,Le Point Nemo,Le Cap Horn,C
Océans & Mers,Expert,Quel métal se trouve souvent sous forme de 'nodules' au fond des plaines abyssales ? (Expert 2)?,L'argent,Le manganèse,Le mercure,L'or,B
Océans & Mers,Expert,Quelle mer est considérée comme la plus jeune du monde au sens géologique ? (Expert 2)?,La mer Rouge,La mer Baltique,La mer Méditerranée,La mer d'Oman,A
Océans & Mers,Expert,Quel est le nom de la couche de transition thermique rapide dans l'océan ? (Expert 2)?,La thermocline,L'isotherme,L'halocline,La pycnocline,A
Océans & Mers,Expert,Quelle espèce détient le record de la plus longue migration marine ? (Expert 2)?,La sterne arctique,Le thon rouge,La tortue luth,La baleine grise,A
Océans & Mers,Expert,Quelle mer a perdu 90% de son volume à cause de l'irrigation ? (Expert 2)?,La mer d'Aral,La mer de Galilée,La mer Noire,La mer Caspienne,A
Océans & Mers,Expert,Quel navire de Cousteau a été coulé à Singapour en 1996 ? (Expert 2)?,La Calypso,Le Redoutable,L'Alcyone,Le Bel Espoir,A
Océans & Mers,Expert,Quel est le pourcentage de l'océan qui reste inexploré ? (Expert 2)?,Environ 50%,Environ 20%,Plus de 80%,Environ 95%,C
Océans & Mers,Expert,Comment appelle-t-on le phénomène d'acidification de l'eau de mer ? (Expert 2)?,Hausse du pH,Eutrophisation,Surnatance,Baisse du pH,D
Océans & Mers,Expert,Quel archipel possède la plus grande zone économique exclusive française ? (Expert 2)?,La Nouvelle-Calédonie,Les Kerguelen,La Polynésie française,La Guadeloupe,C
Océans & Mers,Expert,Quelle est la profondeur exacte du 'Challenger Deep' ? (Expert 3)?,Environ 10 920 mètres,Environ 9 200 mètres,Environ 12 500 mètres,Environ 8 848 mètres,A
Océans & Mers,Expert,Quel navire a réalisé la première expédition océanographique mondiale en 1872 ? (Expert 3)?,L'Endeavour,Le Calypso,Le HMS Challenger,Le Beagle,C
Océans & Mers,Expert,Quelle est la salinité moyenne des océans en grammes par litre ? (Expert 3)?,45 g/L,35 g/L,25 g/L,15 g/L,B
Océans & Mers,Expert,Quel scientifique a co-inventé le scaphandre autonome moderne ? (Expert 3)?,Auguste Piccard,Robert Ballard,Émile Gagnan,James Cameron,C
Océans & Mers,Expert,Comment appelle-t-on les sources hydrothermales au fond des océans ? (Expert 3)?,Les puits de soufre,Les cheminées magmatiques,Les geysers abyssaux,Les fumeurs noirs,D
Océans & Mers,Expert,Quel est le nom de la zone la plus profonde située entre 6000 et 11000 m ? (Expert 3)?,La zone abyssale,La zone mésopélagique,La zone hadale,La zone bathyale,C
Océans & Mers,Expert,En quelle année l'épave du Titanic a-t-elle été localisée ? (Expert 3)?,1972,1997,1985,2001,C
Océans & Mers,Expert,Quel poisson peut vivre jusqu'à 400 ans dans les eaux froides ? (Expert 3)?,Le cœlacanthe,La morue,Le flétan,Le requin du Groenland,D
Océans & Mers,Expert,Quel explorateur a atteint le fond de la fosse des Mariannes en 1960 ? (Expert 3)?,Roald Amundsen,Jacques Piccard,Jacques-Yves Cousteau,Ernest Shackleton,B
Océans & Mers,Expert,Quelle proportion de la chaleur du réchauffement climatique est absorbée par l'océan ? (Expert 3)?,Environ 50%,Plus de 90%,Environ 70%,Environ 30%,B
Océans & Mers,Expert,Quel est le point géographique le plus éloigné de toute terre ? (Expert 3)?,Les îles Kerguelen,Le Pôle Sud,Le Cap Horn,Le Point Nemo,D
Océans & Mers,Expert,Quel métal se trouve souvent sous forme de 'nodules' au fond des plaines abyssales ? (Expert 3)?,L'or,Le mercure,L'argent,Le manganèse,D
Océans & Mers,Expert,Quelle mer est considérée comme la plus jeune du monde au sens géologique ? (Expert 3)?,La mer Méditerranée,La mer Rouge,La mer Baltique,La mer d'Oman,B
Océans & Mers,Expert,Quel est le nom de la couche de transition thermique rapide dans l'océan ? (Expert 3)?,L'isotherme,La pycnocline,La thermocline,L'halocline,C
Océans & Mers,Expert,Quelle espèce détient le record de la plus longue migration marine ? (Expert 3)?,La baleine grise,La sterne arctique,La tortue luth,Le thon rouge,B
Océans & Mers,Expert,Quelle mer a perdu 90% de son volume à cause de l'irrigation ? (Expert 3)?,La mer de Galilée,La mer d'Aral,La mer Noire,La mer Caspienne,B
Océans & Mers,Expert,Quel navire de Cousteau a été coulé à Singapour en 1996 ? (Expert 3)?,Le Bel Espoir,Le Redoutable,La Calypso,L'Alcyone,C
Océans & Mers,Expert,Quel est le pourcentage de l'océan qui reste inexploré ? (Expert 3)?,Environ 95%,Plus de 80%,Environ 20%,Environ 50%,B
Océans & Mers,Expert,Comment appelle-t-on le phénomène d'acidification de l'eau de mer ? (Expert 3)?,Hausse du pH,Eutrophisation,Baisse du pH,Surnatance,C
Océans & Mers,Expert,Quel archipel possède la plus grande zone économique exclusive française ? (Expert 3)?,La Polynésie française,La Guadeloupe,Les Kerguelen,La Nouvelle-Calédonie,A
Océans & Mers,Expert,Quelle est la profondeur exacte du 'Challenger Deep' ? (Expert 4)?,Environ 9 200 mètres,Environ 8 848 mètres,Environ 12 500 mètres,Environ 10 920 mètres,D
Océans & Mers,Expert,Quel navire a réalisé la première expédition océanographique mondiale en 1872 ? (Expert 4)?,Le Calypso,Le HMS Challenger,Le Beagle,L'Endeavour,B
Océans & Mers,Expert,Quelle est la salinité moyenne des océans en grammes par litre ? (Expert 4)?,35 g/L,15 g/L,45 g/L,25 g/L,A
Océans & Mers,Expert,Quel scientifique a co-inventé le scaphandre autonome moderne ? (Expert 4)?,Émile Gagnan,Auguste Piccard,James Cameron,Robert Ballard,A
Océans & Mers,Expert,Comment appelle-t-on les sources hydrothermales au fond des océans ? (Expert 4)?,Les puits de soufre,Les fumeurs noirs,Les geysers abyssaux,Les cheminées magmatiques,B
Océans & Mers,Expert,Quel est le nom de la zone la plus profonde située entre 6000 et 11000 m ? (Expert 4)?,La zone bathyale,La zone abyssale,La zone hadale,La zone mésopélagique,C
Océans & Mers,Expert,En quelle année l'épave du Titanic a-t-elle été localisée ? (Expert 4)?,1972,1985,1997,2001,B
Océans & Mers,Expert,Quel poisson peut vivre jusqu'à 400 ans dans les eaux froides ? (Expert 4)?,La morue,Le cœlacanthe,Le requin du Groenland,Le flétan,C
